,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
125,0.1777963638305664,0.005328596699369597,0.00904393196105957,0.00022287069856518734,True,entropy,5,0.3,20,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'n_estimators': 150}",0.8131313131313131,0.9006734006734006,0.9143356643356643,0.958041958041958,0.951048951048951,0.9074462574462574,0.0518647549795902,171
126,0.23363180160522462,0.008162664601348797,0.011324501037597657,0.00039597556757586745,True,entropy,5,0.3,20,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'n_estimators': 200}",0.8097643097643097,0.9090909090909091,0.916083916083916,0.9597902097902098,0.9545454545454546,0.9098549598549599,0.05394124842199758,129
127,0.2888301372528076,0.007712201275595857,0.01300363540649414,0.0005575505086329207,True,entropy,5,0.3,20,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'n_estimators': 250}",0.8131313131313131,0.9057239057239057,0.9143356643356644,0.9597902097902098,0.9562937062937062,0.9098549598549599,0.05299564607266521,129
128,0.11765432357788086,0.005167196435101844,0.0075454235076904295,0.0005674644751685742,True,entropy,5,0.3,25,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 25, 'n_estimators': 100}",0.8232323232323232,0.8922558922558922,0.9020979020979021,0.9545454545454545,0.9493006993006993,0.9042864542864543,0.047479565511133595,206
129,0.17845287322998046,0.007299280097628392,0.009835910797119141,0.001520999403633941,True,entropy,5,0.3,25,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 25, 'n_estimators': 150}",0.8164983164983165,0.8973063973063973,0.916083916083916,0.9580419580419579,0.9545454545454546,0.9084952084952084,0.0514231692288799,154
130,0.23319082260131835,0.010453483502239534,0.010937738418579101,0.00028879977782280856,True,entropy,5,0.3,25,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 25, 'n_estimators': 200}",0.8148148148148148,0.9107744107744107,0.9195804195804196,0.9615384615384616,0.9545454545454546,0.9122507122507123,0.05247434733344957,76
131,0.28604774475097655,0.002810726578724218,0.013139581680297852,0.0007774676780866408,True,entropy,5,0.3,25,250,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 25, 'n_estimators': 250}",0.8148148148148148,0.9107744107744107,0.9178321678321678,0.958041958041958,0.9562937062937062,0.9115514115514115,0.052079294598987615,94
132,0.11585192680358887,0.0025817787948307115,0.006993722915649414,0.0001075860661478187,True,entropy,5,0.3,30,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 30, 'n_estimators': 100}",0.8164983164983165,0.8855218855218855,0.9020979020979021,0.9527972027972027,0.9423076923076923,0.8998445998445999,0.04850549009182139,236
133,0.17923264503479003,0.011711191015816242,0.009209680557250976,0.0004487421594991106,True,entropy,5,0.3,30,150,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 30, 'n_estimators': 150}",0.8215488215488215,0.8905723905723906,0.9090909090909091,0.9615384615384616,0.9527972027972028,0.9071095571095571,0.05029494946464662,186
134,0.22848548889160156,0.004652580561289528,0.011074161529541016,0.0005507524622188085,True,entropy,5,0.3,30,200,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 30, 'n_estimators': 200}",0.813131313131313,0.898989898989899,0.9108391608391608,0.9615384615384616,0.9545454545454545,0.9078088578088577,0.05314503557009619,166
